keyLength        |encrypt(ms)      |decrypt(ms)      |
384              |177.00           |194.00           |
384              |174.00           |197.00           |
512              |337.00           |371.00           |
512              |338.00           |372.00           |
512              |337.00           |373.00           |
512              |339.00           |368.00           |
512              |337.00           |370.00           |
512              |338.00           |369.00           |
512              |334.00           |371.00           |
512              |336.00           |373.00           |
512              |334.00           |368.00           |
512              |335.00           |370.00           |
512              |332.00           |372.00           |
512              |339.00           |372.00           |
512              |335.00           |375.00           |
512              |335.00           |368.00           |
512              |339.00           |365.00           |
512              |336.00           |371.00           |
512              |337.00           |370.00           |
512              |335.00           |370.00           |
512              |335.00           |373.00           |
512              |338.00           |370.00           |
512              |338.00           |369.00           |
512              |335.00           |372.00           |
512              |336.00           |372.00           |
512              |337.00           |370.00           |
512              |334.00           |369.00           |
512              |336.00           |379.00           |
512              |338.00           |369.00           |
512              |333.00           |367.00           |
512              |335.00           |368.00           |
512              |340.00           |369.00           |
512              |336.00           |370.00           |
512              |337.00           |366.00           |
512              |337.00           |367.00           |
512              |338.00           |373.00           |
512              |334.00           |367.00           |
512              |338.00           |367.00           |
512              |338.00           |371.00           |
512              |336.00           |368.00           |
512              |337.00           |372.00           |
512              |338.00           |368.00           |
512              |337.00           |362.00           |
512              |330.00           |364.00           |
512              |340.00           |362.00           |
512              |327.00           |363.00           |
512              |329.00           |361.00           |
512              |339.00           |373.00           |
512              |335.00           |371.00           |
512              |335.00           |374.00           |
512              |342.00           |372.00           |
512              |335.00           |371.00           |
512              |337.00           |367.00           |
512              |336.00           |367.00           |
512              |335.00           |366.00           |
512              |337.00           |369.00           |
512              |337.00           |371.00           |
512              |336.00           |369.00           |
512              |339.00           |370.00           |
512              |334.00           |375.00           |
512              |339.00           |370.00           |
512              |336.00           |366.00           |
512              |329.00           |371.00           |
512              |334.00           |362.00           |
512              |327.00           |372.00           |
512              |340.00           |370.00           |
512              |335.00           |367.00           |
512              |338.00           |374.00           |
512              |339.00           |371.00           |
512              |335.00           |368.00           |
512              |339.00           |369.00           |
512              |332.00           |372.00           |
512              |337.00           |372.00           |
512              |337.00           |375.00           |
512              |339.00           |369.00           |
512              |334.00           |373.00           |
512              |338.00           |372.00           |
512              |337.00           |369.00           |
512              |336.00           |373.00           |
512              |335.00           |368.00           |
512              |334.00           |369.00           |
512              |339.00           |368.00           |
512              |336.00           |373.00           |
512              |337.00           |371.00           |
512              |341.00           |369.00           |
512              |340.00           |369.00           |
512              |337.00           |368.00           |
512              |338.00           |373.00           |
512              |339.00           |368.00           |
512              |335.00           |368.00           |
512              |337.00           |367.00           |
512              |334.00           |373.00           |
512              |336.00           |369.00           |
512              |333.00           |371.00           |
512              |337.00           |373.00           |
512              |339.00           |366.00           |
512              |336.00           |370.00           |
512              |336.00           |364.00           |
512              |336.00           |368.00           |
512              |339.00           |367.00           |
512              |337.00           |370.00           |
512              |341.00           |369.00           |
512              |338.00           |372.00           |
512              |341.00           |372.00           |
512              |337.00           |366.00           |
512              |340.00           |371.00           |
512              |336.00           |368.00           |
512              |337.00           |370.00           |
512              |335.00           |373.00           |
512              |336.00           |366.00           |
512              |335.00           |369.00           |
512              |336.00           |369.00           |
512              |337.00           |366.00           |
512              |339.00           |369.00           |
512              |338.00           |372.00           |
512              |337.00           |371.00           |
512              |337.00           |372.00           |
512              |339.00           |372.00           |
512              |337.00           |370.00           |
512              |336.00           |370.00           |
512              |337.00           |370.00           |
512              |334.00           |370.00           |
512              |334.00           |370.00           |
512              |340.00           |366.00           |
512              |337.00           |368.00           |
512              |339.00           |367.00           |
512              |334.00           |368.00           |
512              |337.00           |369.00           |
512              |340.00           |367.00           |
512              |339.00           |368.00           |
512              |329.00           |367.00           |
512              |339.00           |372.00           |
512              |337.00           |368.00           |
512              |340.00           |370.00           |
512              |338.00           |368.00           |
512              |338.00           |369.00           |
512              |341.00           |371.00           |
512              |335.00           |362.00           |
512              |331.00           |361.00           |
512              |337.00           |369.00           |
512              |336.00           |370.00           |
512              |336.00           |370.00           |
512              |336.00           |370.00           |
512              |337.00           |373.00           |
512              |338.00           |367.00           |
512              |337.00           |368.00           |
512              |338.00           |370.00           |
512              |340.00           |369.00           |
512              |337.00           |371.00           |
512              |338.00           |372.00           |
512              |337.00           |370.00           |
512              |338.00           |370.00           |
512              |341.00           |368.00           |
512              |335.00           |375.00           |
512              |337.00           |372.00           |
512              |335.00           |367.00           |
512              |335.00           |370.00           |
512              |336.00           |370.00           |
512              |335.00           |372.00           |
512              |338.00           |372.00           |
512              |338.00           |369.00           |
512              |339.00           |371.00           |
512              |337.00           |374.00           |
512              |338.00           |368.00           |
512              |337.00           |362.00           |
512              |327.00           |360.00           |
512              |331.00           |362.00           |
512              |328.00           |361.00           |
512              |327.00           |370.00           |
512              |338.00           |369.00           |
512              |336.00           |371.00           |
512              |332.00           |360.00           |
512              |331.00           |362.00           |
512              |332.00           |367.00           |
512              |339.00           |375.00           |
512              |340.00           |370.00           |
512              |335.00           |373.00           |
512              |335.00           |374.00           |
512              |332.00           |370.00           |
512              |341.00           |368.00           |
512              |337.00           |370.00           |
512              |330.00           |363.00           |
512              |331.00           |429.00           |
512              |333.00           |359.00           |
512              |329.00           |365.00           |
512              |337.00           |367.00           |
512              |334.00           |371.00           |
512              |335.00           |371.00           |
512              |338.00           |371.00           |
512              |335.00           |368.00           |
512              |342.00           |369.00           |
512              |335.00           |371.00           |
